Condition,Count,left_right_ratio_mean,left_right_ratio_std,symmetry_error_mean,symmetry_error_std,num_peaks_mean,num_peaks_std,peak_mean_height_mean,peak_mean_height_std,mid_low_low_ratio_mean,mid_low_low_ratio_std,left_right_correlation_mean,left_right_correlation_std,diff_mean_mean,diff_mean_std,diff_std_mean,diff_std_std
Baseline,799,1.3159030476420008,0.4712779401626651,7.617940394242804,2.9474654808753282,6.952440550688361,2.3826315827894926,20.54500185463264,6.812608440525199,0.512828467612254,0.13643430395028913,0.42601372041584146,0.1673710932638651,-1.0440510956155513,0.4127018283268152,10.357979079631642,2.624447296129008
Healthy,799,1.188906588329928,0.351252055467254,6.853125,2.59070676317064,5.961201501877347,1.7692008754071995,22.56332216768074,6.13338380678904,0.3697208640177709,0.14262148246878759,0.5538521114201369,0.17946106440904167,-0.7558038818364226,0.3778450896200405,9.440787603543008,2.1489628035880024
Diseased,799,1.2583411743600237,0.3236020793001817,6.434887359198999,3.2331871841238646,4.619524405506883,2.508715489570638,24.809801483456052,5.373049511952598,0.45632192445019537,0.08735315718573801,0.577158779484349,0.16549421715044593,-1.0740648032262552,0.6240079696872698,11.83485883145036,4.39126672507242
