label,rssi,fft_peak,fft_mean,fft_std,fft_energy,dominant_frequency,dominant_frequency_magnitude,psd_mean,psd_std,psd_max,psd_min,psd_skewness,psd_kurtosis,psd_energy,spectral_centroid,spectral_spread,spectral_bandwidth,spectral_rolloff_85,spectral_rolloff_95,spectral_entropy,spectral_flatness,num_psd_peaks,peak_to_average_ratio,frequency_of_max_psd,low_freq_energy,mid_freq_energy,high_freq_energy,spectral_slope
0,-70,1270.9,138.80330976004183,212.46227006143437,2061010.4000000001,0.0,1270.9,0.9903411090285956,2.3310311257500698,9.371431211634883,0.0035057482615546906,2.7910733462517183,6.959774566612678,16.835798853486125,3.9464240493858593,4.6378396755788165,12.5,6.25,12.5,1.7951204082340888,0.07697828401580498,1,9.462822115912157,3.125,0.9455866774235432,0.04702114066826536,0.007392122510954033,-2.550390686664633
0,-68,1215.6,131.82611692339006,202.99530757360054,1874727.0399999996,0.0,1215.6,0.9222699020121986,2.1217558467454922,8.560241125298207,0.003760075625823298,2.7948602029718193,6.998760335477879,15.678588334207376,4.249835231384981,4.829122595488436,12.5,6.25,12.5,1.8921783102583163,0.09016207821459786,1,9.28169923459754,3.125,0.9332206525453874,0.05955361954872898,0.00722566412463527,-2.6771794573366203
0,-88,793.5,136.29673734826815,122.17153673510536,1072085.9200000002,0.0,793.5,0.6104322714828357,1.2013086624725802,4.661312437462283,0.0020271583111910506,2.397715351107591,4.907162467354162,10.377348615208208,4.911750303063439,5.451527346534247,15.625,9.375,15.625,2.2483157248340673,0.10536848549239503,1,7.636072041321146,3.125,0.8966449371044701,0.09929204091377808,0.0040629256180330035,-2.87139090304853
0,-89,808.9,135.16365833263427,124.91042476966804,1083898.52,0.0,808.9,0.5356774697192686,0.9895025524657721,3.8320894216578427,0.0036663844948313876,2.3393691686161766,4.595664361576834,9.106516985227566,6.159014094381927,7.299483869828613,21.875,12.5,21.875,2.465696888348177,0.20190748668137123,1,7.153711859403486,3.125,0.8364387620661403,0.14052881375956855,0.023032314362835375,-2.2136142563608376
0,-73,1029.1,77.6129015219417,183.73808469488677,1273070.2799999998,0.0,1029.1,0.6841311001279892,1.9464606971401355,8.244676599533157,0.003101633016242352,3.4240046417291916,10.40406604295079,11.630228702175815,3.6617390040653808,3.7119990916458883,6.25,6.25,6.25,1.393804242545791,0.05214157050364605,1,12.051293307229294,3.125,0.9651399649372807,0.031300593720682356,0.0035593553592123744,-2.706871647816841
0,-92,455.20000000000005,79.25999331405202,72.65736600549478,369959.66000000003,0.0,455.20000000000005,0.16722700416789774,0.3047633061805603,1.0980618028938087,0.0014262476677373286,2.1844378399585827,3.432085485775178,2.8428590708542614,6.593472743864465,6.477535452300572,18.75,12.5,18.75,2.4572431969678235,0.18142119618194938,2,6.566255504618409,3.125,0.8435024455982687,0.13853194863153465,0.017965254011764943,-2.4544504223910737
0,-87,799.7,90.34148412653917,134.49683080212068,840031.4000000001,0.0,799.7,0.5885930994800469,0.8640714580918306,3.4164812498165245,0.008729265681948218,2.1174885796115266,4.0465427555760645,10.006082691160797,8.831569829121472,8.535115747045845,28.125,15.625,28.125,2.914603746860532,0.3109688521828974,2,5.804477572633807,3.125,0.7079129122824598,0.24506554074019532,0.04702144703814489,-2.022038012905579
0,-90,579.7,82.02881741753197,92.87401742727191,491337.92000000004,0.0,579.7,0.23177747413930674,0.42596849928355074,1.6068395456229974,0.002491620827311226,2.292416807893432,4.134465118929576,3.9402170603682145,6.465962359700958,6.858861521203232,21.875,12.5,21.875,2.469239207029142,0.19229036702062105,1,6.932652186920655,3.125,0.8288145053733581,0.1529958984316092,0.018189342401972335,-2.367133592010029
0,-89,631.6999999999999,83.11495399030571,103.12009708679177,561339.2,0.0,631.6999999999999,0.26575185185575245,0.49745918620386326,2.046011127516091,0.0027238482482511944,2.722604638397955,6.774740628219684,4.517781481547791,6.663735126631204,7.378680061030229,21.875,12.5,21.875,2.514660158019805,0.19716292694568274,1,7.6989244451331125,3.125,0.7929836320681533,0.18995336093190865,0.017062785652406612,-2.3677300686390375
0,-89,695.6,86.24091658629976,116.05122492397436,668972.2400000001,0.0,695.6,0.3576585307525073,0.6455065565079523,2.5313491463096596,0.000774707892685791,2.354026199168387,4.858770906650485,6.0801950227926245,6.034986769703871,6.101732709280031,18.75,9.375,18.75,2.469638223895205,0.12017808847339435,1,7.077538632854996,3.125,0.8675812800792143,0.12537954671078616,0.007039008741617766,-3.0375659690312458
0,-89,661.5999999999999,83.93353902909863,111.11862366881068,620550.0,0.0,661.5999999999999,0.3104712419065811,0.6207966918312687,2.5557054375228465,0.002231793425226063,2.817873608123921,7.1910801075912225,5.278011112411878,5.997324677531467,6.705903636516987,18.75,9.375,18.75,2.3824883101016727,0.1961318375649746,1,8.231671281878528,3.125,0.8556503390158966,0.12741493873299511,0.0169345327858364,-2.3675544418462926
0,-89,584.9000000000001,81.12049638308122,95.03984068043523,499619.4000000001,0.0,584.9000000000001,0.31317051041331523,0.5383470631040225,1.8990948567732628,0.007571074076481842,2.1726170323935787,3.2210344603924153,5.323898677026359,7.9098678952708985,8.058575786229053,25.0,15.625,25.0,2.653740947006444,0.2676932868236308,1,6.064072859842485,3.125,0.7650595704071924,0.20923841239174362,0.025701829368824487,-2.0207186530852477
0,-90,544.0,81.44459784264137,86.52269561941777,451820.78,0.0,544.0,0.2426969681373079,0.4673988008943955,1.9040497163406496,0.010105326136532646,2.727937586340908,6.588888471864459,4.125848458334234,7.259727070774642,9.273417343776764,31.25,12.5,31.25,2.529155916090235,0.3137185350346279,1,7.845346753226305,3.125,0.8295931821110252,0.12015842307164107,0.050248152443003534,-1.6465609221574435
0,-87,567.1,79.84376200474233,92.77342652360142,479421.92,0.0,567.1,0.18445606047811947,0.3513169831037751,1.409664229799538,0.0014991655724990276,2.6038638100018923,5.967803758593426,3.135753028128031,6.5687899435407235,7.384575484764279,21.875,12.5,21.875,2.4640549649929424,0.20946003303888672,1,7.642235142128128,3.125,0.8207812314940373,0.1496478380132897,0.029570611590108774,-2.26271090202753
0,-91,526.5,80.59642310515898,84.66715911529214,437257.96,0.0,526.5,0.20270015719726311,0.3725060981615202,1.4839405829769554,0.0014629921759352165,2.4930824131546676,5.503768385889716,3.445902672353473,6.2569473455001,6.846550604458068,18.75,12.5,18.75,2.4989598826031156,0.20780451394488803,1,7.3208293603022,3.125,0.8465447532332596,0.13104091509937313,0.022414041467728883,-2.3376486324281696
0,-84,1025.8000000000002,147.52021505445828,164.44906285925254,1561782.6600000001,0.0,1025.8000000000002,0.7872566280247866,1.550549858509489,5.581768459812619,0.011524317757866796,2.206762984082698,3.4949471146642157,13.383362676421372,5.799001893037384,6.541585642802397,15.625,6.25,15.625,2.2613920145625017,0.17333115147060477,1,7.090142109917897,3.125,0.8715803297450874,0.10682142119070694,0.021598174344574235,-2.179555329692064
0,-84,1124.9,152.6564293828937,179.93891551875484,1781823.96,0.0,1124.9,1.0569739334254016,2.0572048416238187,7.65173920319144,0.011378606892231082,2.2779103515951236,3.9780748212409964,17.968556868231826,5.9551858520740595,6.796101905245988,21.875,9.375,21.875,2.3160156664542426,0.1718815556022111,1,7.239281615122124,3.125,0.8624494110462037,0.11892980359126443,0.018620729709763032,-2.2654902176326597
0,-83,1080.0,151.89486773266728,172.3082895756194,1688390.3199999998,0.0,1080.0,1.0012396542102324,1.9218748833812391,7.278852552164132,0.006845734527133021,2.280979552112465,4.224888662652605,17.02107412157395,5.668145726368019,5.981026268454058,15.625,12.5,15.625,2.309715058496107,0.153308130420623,2,7.269833202993151,3.125,0.8492737158232841,0.13635719838939486,0.014369027036625605,-2.4717574068668156
0,-88,821.1000000000001,144.52327491744816,125.37469544184624,1171385.32,0.0,821.1000000000001,0.6914595736232929,1.4491532949750934,5.429732319753583,0.0020034011103190383,2.31996992746376,4.269156581377741,11.75481275159598,4.796622898003401,5.36130284737832,15.625,6.25,15.625,2.060878895566772,0.11358693453705132,1,7.852555195304159,3.125,0.9165530383790321,0.07423263604907833,0.009214240500359046,-2.512714197126921
0,-86,921.5,154.0417664784349,147.44710214244063,1455024.4400000002,0.0,921.5,1.237154621603948,2.7112399671177556,10.764789402334616,0.00753397185924693,2.6423488789400524,6.1534262388552925,21.031628567267116,4.472565870358596,5.401521569748637,15.625,6.25,15.625,2.0223104863101664,0.1181644967483464,1,8.701241148933454,3.125,0.9278251517146539,0.062454272673198745,0.009720528064714278,-2.508549393355096
0,-86,964.0999999999999,155.35471214764834,154.0379447198687,1531608.7999999998,0.0,964.0999999999999,1.176950505466664,2.514950114174385,9.993381113051024,0.013082247821468098,2.626982090050729,6.082018740663713,20.008158592933288,4.577874948259392,5.720113105268868,15.625,6.25,15.625,2.102527520449961,0.14229887720628784,1,8.490903037749737,3.125,0.9243649823577146,0.06269714758017664,0.012937820082499425,-2.3553246939415167
0,-85,1100.7,162.79719276443512,179.9001362645936,1883743.52,0.0,1100.7,1.753605066888698,3.902998684560414,15.630056805374442,0.011344693823789423,2.7135137169830648,6.555579669381681,29.811286137107867,4.194602442586994,4.779036942919713,12.5,6.25,12.5,1.971116913459065,0.09627723579556835,1,8.91309462284524,3.125,0.936385120760948,0.05672354892219199,0.006891296772518474,-2.6959738374710223
0,-85,1045.4,161.91631513161016,168.91345977808018,1751956.8,0.0,1045.4,1.8090461869852215,4.079841006535159,16.4226690283527,0.01309020850032924,2.7613280757153302,6.8164758853990275,30.753785178748764,4.288600596857208,5.001452843436067,12.5,6.25,12.5,1.957242479819702,0.10799797771353768,1,9.07807665079267,3.125,0.9370530821610988,0.055344827906606324,0.007602057415973158,-2.5677539600042625
0,-83,1119.0,162.54653536860584,180.32148226060744,1885990.8199999998,0.0,1119.0,1.840106887165953,4.085556495650857,16.288945916190215,0.011266346190203244,2.6810868944957558,6.370842045297579,31.2818170818212,4.249931780772516,4.92920324336906,12.5,6.25,12.5,1.9738090795676828,0.10189894786002494,1,8.852168956939629,3.125,0.9325993479846153,0.06014225202346113,0.007258368024472216,-2.6229893762671006
0,-75,1135.4,89.1874589969334,201.1185229725754,1548898.0200000005,0.0,1135.4,1.0324286548161616,2.3540266340182194,9.546458365377829,0.0058854791302951045,2.823393062603801,7.174828294986934,17.551287131874748,4.227538734987565,4.628474265263184,12.5,6.25,12.5,1.9221870121359395,0.08579101369965282,1,9.24659449759578,3.125,0.9317327768448397,0.0614201595737631,0.006847006605521892,-2.754249580569594
0,-75,909.4,73.19147753973,161.54108839719754,1006480.5,0.0,909.4,0.561139605414984,1.4070631875801385,5.888069130850149,0.004205129554467271,3.180905258620232,9.118548865241825,9.539373292054728,4.1480620762620255,4.461853173482345,12.5,6.25,12.5,1.756846862268214,0.08987832206068505,1,10.493036992922134,3.125,0.9446549302413549,0.04836169520478295,0.006983269725183863,-2.6416545180578868
