label,rssi,mean_amp,shannon_entropy,normalized_entropy,renyi_entropy_alpha_0.5,renyi_entropy_alpha_1,renyi_entropy_alpha_2,renyi_entropy_alpha_3,tsallis_entropy_q_0.5,tsallis_entropy_q_1.5,tsallis_entropy_q_2,sample_entropy,approximate_entropy,permutation_entropy,svd_entropy,fractal_dimension,lz_complexity
0,-70,19.8578125,5.6132308428186235,0.935538473803104,5.701087853466097,5.6132308428186235,5.358432474350523,4.983017943564313,12.425443076437453,1.70299147429695,0.9756256368029372,0.15868562859798235,0.19613771343562414,-1.6743310423506184e-06,3.327021614021537,0,0.171875
0,-68,18.99375,5.620734303163578,0.936789050527263,5.705680479648496,5.620734303163578,5.372660201675913,5.005585611713924,12.448422094141385,1.704065023315396,0.975864842965192,0.23312034744412422,0.2914911776478333,-1.6743310423506184e-06,3.3594901949141716,0,0.1875
0,-88,12.3984375,5.42266206404976,0.90377701067496,5.632081164380058,5.42266206404976,4.721477086252322,4.0142755049816135,12.08453840153992,1.6601574644746253,0.9620962380782949,0.4361906112933143,0.42091537442126237,-1.6743310423506184e-06,3.584126262533167,0,0.1875
0,-89,12.639062499999998,5.468621986771371,0.9114369977952285,5.660750779657218,5.468621986771371,4.776384267109014,4.057907689994323,12.225181815691762,1.6665716566691655,0.9635117392610721,0.3689139124553769,0.3750672502061041,-1.6743310423506184e-06,3.7061646501221213,0,0.234375
0,-73,16.0796875,5.603377228981746,0.9338962048302909,5.667654464322462,5.603377228981746,5.50796231724614,5.433096851418613,12.259258235206357,1.7079915325018742,0.9780255322663479,0.3780329217048884,0.4142778435553649,-1.6743310423506184e-06,3.0576295424873488,0,0.1875
0,-92,7.112500000000001,5.309864250204883,0.8849773750341471,5.565458555596391,5.309864250204883,4.62484439690168,3.9806873714678264,11.763057204837082,1.6453446134769554,0.959470392689834,0.5067452119980514,0.511085552489114,-1.6743310423506184e-06,3.69573125856237,0,0.21875
0,-87,12.495312499999999,5.546557443693978,0.924426240615663,5.657264488744153,5.546557443693978,5.288800630614647,4.9511197540089364,12.208004526269923,1.6951862555643658,0.9744203032635177,0.45873709140230584,0.43467398965660564,-1.6743310423506184e-06,3.9983033467645157,0,0.203125
0,-90,9.0578125,5.519114591759346,0.919852431959891,5.665023882968424,5.519114591759346,5.045818711086723,4.46320905046385,12.246264134090922,1.6830450926384812,0.9697278777081776,0.4643727758554169,0.449989287115788,-1.6743310423506184e-06,3.680733334469301,0,0.21875
0,-89,9.8703125,5.53248577617038,0.9220809626950633,5.665033911747961,5.53248577617038,5.130857193102137,4.611821222177467,12.246313650068492,1.687719307533131,0.971460729734082,0.6310418097017578,0.5216539551624186,-1.6743310423506184e-06,3.6768308070393356,0,0.203125
0,-89,10.868749999999999,5.50522660083635,0.9175377668060584,5.631067054074727,5.50522660083635,5.172905014658193,4.745275381181814,12.079589064559997,1.687507108183617,0.9722805404416757,0.5610767730565492,0.48104659014711615,-1.6743310423506184e-06,3.655042010270328,0,0.1875
0,-89,10.3375,5.488031118710063,0.9146718531183439,5.6356833155207715,5.488031118710063,5.115075518125295,4.661228976673179,12.102132669159616,1.6833376415621135,0.9711468132067129,0.4341218762102599,0.3907317924331557,-1.6743310423506184e-06,3.6213409059125907,0,0.1875
0,-89,9.1390625,5.510249943271258,0.9183749905452098,5.660031612971517,5.510249943271258,5.045432279482538,4.476906320428213,12.22163671322882,1.6822275251698944,0.969719767845897,0.6316256043117044,0.5020051721869025,-1.6743310423506184e-06,3.902575504635529,0,0.234375
0,-90,8.5,5.470638110084276,0.9117730183473793,5.641226900081786,5.470638110084276,4.947860947147583,4.342420697478248,12.129252580333322,1.6748098175715147,0.9676009678959308,0.7298884897854306,0.6090335780456733,-1.6743310423506184e-06,3.88798889155266,0,0.203125
0,-87,8.860937499999999,5.495789012596668,0.915964835432778,5.653932509009962,5.495789012596668,5.002497608999572,4.417413288634633,12.191606928379118,1.6791791849127347,0.9688050535298579,0.530273705663451,0.520083146798413,-1.6743310423506184e-06,3.663608534995927,0,0.203125
0,-91,8.2265625,5.434167487700815,0.9056945812834692,5.62384584889039,5.434167487700815,4.880654530150115,4.272751941491794,12.044396423887523,1.6685961618778993,0.9660559394295792,0.5392876043149532,0.48759755614659106,-1.6743310423506184e-06,3.687023264064824,0,0.203125
0,-84,16.028125,5.532492913936773,0.9220821523227954,5.680465001854149,5.532492913936773,5.011619934736219,4.381651434328608,12.322707158890903,1.6825737105995122,0.9690016867447997,0.41332862843378265,0.39549713698454214,-1.6743310423506184e-06,3.7015558253593523,0,0.21875
0,-84,17.5765625,5.567873359124873,0.9279788931874787,5.693174962576664,5.567873359124873,5.12855179130708,4.552987210384098,12.385936945758885,1.6903744707956259,0.9714150864154888,0.36062958392775907,0.37591648417583445,-1.6743310423506184e-06,3.7729388761583156,0,0.21875
0,-83,16.875,5.535110964249947,0.9225184940416579,5.673133050948178,5.535110964249947,5.0679103538439065,4.4756882996975325,12.286358489332718,1.6853933657526978,0.9701879115778413,0.35375221620238306,0.3789718157136732,-1.6743310423506184e-06,3.6371789972216675,0,0.234375
0,-88,12.8296875,5.427599566735835,0.9045999277893059,5.64376810496399,5.427599566735835,4.676733530547923,3.9451929705069797,12.14170190105558,1.6581364396874902,0.9609022452736702,0.2331363726546516,0.24833690682122644,-1.6743310423506184e-06,3.5909902079596345,0,0.1875
0,-86,14.3984375,5.320395351850262,0.8867325586417104,5.568079736580629,5.320395351850262,4.709720551211867,4.128378059411006,11.77556569036933,1.65012729735432,0.9617860898437587,0.2148417082082968,0.30982084933066045,-1.6743310423506184e-06,3.624996274709768,0,0.203125
0,-86,15.064062499999999,5.360577663240354,0.8934296105400591,5.585567269191945,5.360577663240354,4.789623600684937,4.218748561062079,11.859309023113273,1.6576396767245858,0.9638450623947952,0.14335717054113298,0.18604230886707396,-1.6743310423506184e-06,3.6996919524818885,0,0.171875
0,-85,17.198437499999997,5.387473721499708,0.897912286916618,5.593685418094819,5.387473721499708,4.913036071286135,4.433107104802591,11.898357600304173,1.6654684409719507,0.9668093553134702,0.16703231282767114,0.18275310917907173,-1.6743310423506184e-06,3.57211556635059,0,0.203125
0,-85,16.334375,5.362573724010879,0.8937622873351465,5.583253657597041,5.362573724010879,4.848048433530369,4.341926013640469,11.848200573393932,1.660305978846624,0.9652800178868033,0.27987938215964486,0.3119687250891383,-1.6743310423506184e-06,3.630211381363957,0,0.203125
