Condition,Count,mean_amp_mean,mean_amp_std,std_amp_mean,std_amp_std,skewness_mean,skewness_std,kurtosis_mean,kurtosis_std,iqr_mean,iqr_std,crest_factor_mean,crest_factor_std,rssi_mean,rssi_std
Baseline,799,14.020523701501878,4.0906942568571845,11.875640425283265,3.2772148297460415,3.3403508480265427,1.4671832822918116,20.136203879312873,10.281755249510432,10.070650813516897,4.635565458471128,4.669207669503,0.9324908203344882,-81.12140175219024,10.172523315976333
Healthy,799,13.908094102002504,3.318489953893206,11.617410528488668,2.3649016235789633,2.185639654364994,1.608755899040447,11.202880987942269,11.380299330860938,13.43435544430538,4.248509902872334,4.020048838594403,1.131828249393909,-83.40300375469337,6.444503087037278
Diseased,799,17.57438986232791,3.7301825805105473,13.425888797224864,4.135279417316596,2.3809143061700886,1.9356462976355662,14.88872215093294,13.229453632772769,10.917209011264081,3.965560484661996,4.106582462190698,1.1197523189355543,-66.96370463078848,13.936390916313192
