label,packet_num,rssi,mean_amp,std_amp,max_amp,min_amp,median_amp,energy,rolling_mean_50,rolling_std_50,rolling_max_50,rolling_min_50,rolling_energy_50,derivative,derivative_abs,derivative_squared,cumulative_mean,cumulative_std,cumulative_min,cumulative_max,autocorr_lag_1,autocorr_diff_lag_1,autocorr_ratio_lag_1,autocorr_lag_5,autocorr_diff_lag_5,autocorr_ratio_lag_5,autocorr_lag_10,autocorr_diff_lag_10,autocorr_ratio_lag_10,autocorr_lag_20,autocorr_diff_lag_20,autocorr_ratio_lag_20,autocorr_lag_50,autocorr_diff_lag_50,autocorr_ratio_lag_50
2,2153,-86,13.5703125,9.934703689710316,69.9,0.0,13.6,18102.510000000002,,,,,,,,,13.5703125,,13.5703125,13.5703125,,,,,,,,,,,,,,,
2,2154,-54,19.5640625,20.14761436860686,164.9,0.0,20.700000000000003,50475.450000000004,,,,,,5.993749999999999,5.993749999999999,35.925039062499984,16.5671875,4.238221269736869,13.5703125,19.5640625,13.5703125,5.993749999999999,1.44168095305978,,,,,,,,,,,,
2,2155,-55,20.5390625,20.207081193757148,164.9,0.0,22.0,53131.47,,,,,,0.9750000000000014,0.9750000000000014,0.9506250000000027,17.891145833333333,3.7735734749482925,13.5703125,20.5390625,19.5640625,0.9750000000000014,1.0498362213964394,,,,,,,,,,,,
2,2156,-54,20.4859375,20.20148406667425,164.9,0.0,22.299999999999997,52977.509999999995,,,,,,-0.05312500000000142,0.05312500000000142,0.002822265625000151,18.53984375,3.343123359311306,13.5703125,20.5390625,20.5390625,-0.05312500000000142,0.9974134166341128,,,,,,,,,,,,
2,2157,-83,17.817187500000003,11.46012863539689,69.9,0.0,18.75,28722.35,,,,,,-2.6687499999999957,2.6687499999999957,7.122226562499978,18.3953125,2.9132115882325635,13.5703125,20.5390625,20.4859375,-2.6687499999999957,0.869727667101998,,,,,,,,,,,,
2,2158,-83,16.2109375,10.85034730416929,69.9,0.0,17.7,24353.570000000003,,,,,,-1.6062500000000028,1.6062500000000028,2.580039062500009,18.03125,2.7540316682433947,13.5703125,20.5390625,17.817187500000003,-1.6062500000000028,0.9098482344731323,13.5703125,2.640625,1.1945882827246401,,,,,,,,,
2,2159,-84,16.6703125,11.468989162186167,69.9,0.0,16.5,26203.97,,,,,,0.4593750000000014,0.4593750000000014,0.2110253906250013,17.836830357142855,2.5661582844348874,13.5703125,20.5390625,16.2109375,0.4593750000000014,1.0283372859628084,19.5640625,-2.893749999999997,0.8520884477807998,,,,,,,,,
2,2160,-83,19.353125,12.227875029389816,69.9,0.0,18.95,33540.12,,,,,,2.682812499999997,2.682812499999997,7.197482910156235,18.0263671875,2.435533552811828,13.5703125,20.5390625,16.6703125,2.682812499999997,1.160933476146084,20.5390625,-1.1859375000000014,0.9422593683494868,,,,,,,,,
2,2161,-83,16.4921875,11.439655598611514,69.9,0.0,17.25,25782.91,,,,,,-2.8609374999999986,2.8609374999999986,8.184963378906241,17.85590277777778,2.334923716280832,13.5703125,20.5390625,19.353125,-2.8609374999999986,0.852171762845961,20.4859375,-3.9937499999999986,0.8050491560345161,,,,,,,,,
2,2162,-55,20.379687500000003,20.22241315106443,164.9,0.0,21.35,52753.770000000004,,,,,,3.887500000000003,3.887500000000003,15.112656250000022,18.108281249999997,2.3415922996142697,13.5703125,20.5390625,16.4921875,3.887500000000003,1.235717594423566,17.817187500000003,2.5625,1.1438217370827053,,,,,,,,,
2,2163,-54,19.607812499999998,20.17341462704923,164.9,0.0,20.9,50651.71,,,,,,-0.771875000000005,0.771875000000005,0.5957910156250077,18.244602272727274,2.26697302177663,13.5703125,20.5390625,20.379687500000003,-0.771875000000005,0.962125230716848,16.2109375,3.396874999999998,1.2095420940619814,13.5703125,6.037499999999998,1.4449049021601452,,,,,,
2,2164,-83,18.8734375,11.276208945545209,69.9,0.0,20.5,30935.010000000002,,,,,,-0.7343749999999964,0.7343749999999964,0.5393066406249948,18.297005208333335,2.1690833368827867,13.5703125,20.5390625,19.607812499999998,-0.7343749999999964,0.962546767389439,16.6703125,2.203125,1.132158522393715,19.5640625,-0.6906249999999972,0.9646992558575574,,,,,,
2,2165,-59,17.735937500000002,18.840459846991358,143.0,0.0,17.1,42849.69,,,,,,-1.1374999999999993,1.1374999999999993,1.2939062499999985,18.253846153846155,2.082561114895704,13.5703125,20.5390625,18.8734375,-1.1374999999999993,0.9397300603173079,19.353125,-1.6171874999999964,0.916437866420133,20.5390625,-2.803124999999998,0.8635222097638483,,,,,,
2,2166,-61,17.2796875,18.53146968408992,143.0,0.0,15.3,41088.19,,,,,,-0.4562500000000007,0.4562500000000007,0.20816406250000064,18.184263392857144,2.0177277776555234,13.5703125,20.5390625,17.735937500000002,-0.4562500000000007,0.9742753393061212,16.4921875,0.7875000000000014,1.0477498180426448,20.4859375,-3.206249999999997,0.843490157895378,,,,,,
2,2167,-86,13.634375,10.273938794803822,69.9,0.0,15.950000000000001,18652.800000000003,,,,,,-3.645312500000001,3.645312500000001,13.288303222656257,17.8809375,2.271678351063804,13.5703125,20.5390625,17.2796875,-3.645312500000001,0.7890405547530558,20.379687500000003,-6.7453125000000025,0.6690178311606675,17.817187500000003,-4.1828125000000025,0.7652371753265111,,,,,,
