label,rssi,mean_amp,spectrogram_mean,spectrogram_std,spectrogram_max,spectrogram_min,spectrogram_energy,time_freq_entropy,avg_temporal_variation,max_temporal_variation,min_temporal_variation,avg_freq_variation,max_freq_variation,min_freq_variation,spectrogram_peak_freq,spectrogram_peak_time,cwt_mean,cwt_std,cwt_max,cwt_min,cwt_energy,wavelet_entropy,scale_mean_mean,scale_mean_std,scale_mean_max,scale_mean_min,max_energy_scale,max_energy_value,inst_amp_mean,inst_amp_std,inst_amp_max,inst_amp_min,inst_amp_range,inst_phase_mean,inst_phase_std,inst_phase_range,inst_freq_mean,inst_freq_std,inst_freq_max,inst_freq_min,inst_freq_range,inst_bandwidth
0,-70,19.8578125,0.585961383009994,1.8899272166413068,13.105241849380933,1.6666666666666745e-05,36.91556712962962,3.2947515159059337,0.812871906351289,4.466749856538742,0.03067488719463481,1.2201941488532022,4.061259640342874,0.0150958839798864,6.25,0.4,13.406917081822087,18.397713193490638,125.81574924810252,0.0,530658.5870221234,8.933218323013863,13.406917081822089,7.146573451643919,35.82178350151359,4.562156090861475,1,109721.58671472842,24.732605957395577,14.87038907059557,113.34656330790085,0.32750451416077553,113.01905879374007,-0.01994187606303826,0.8002593719886211,3.141592653589794,-0.3101157293322605,9.404726826904952,21.24752472581396,-49.9999999999995,71.24752472581346,9.404726826904952
0,-68,18.99375,0.5646851410934743,1.63276185659437,10.898376550253944,9.733796296295857e-05,35.57516388888888,3.5629560621790275,0.6994961268384222,3.7065425564424612,0.0249541907729387,1.1233644133515088,3.383459328962962,0.02312372553407139,6.25,0.4,12.945192585731661,17.201023059013455,119.15973149206654,0.0,474576.0822869961,8.997133353342472,12.945192585731661,6.778498493963794,34.26308916865207,4.374523303585549,1,99825.78250942186,23.565044462715537,13.993196162608443,106.77624594706619,0.01407226121861882,106.76217368584757,0.022344864708821,0.7956596746162761,3.141592653589799,-0.306259640283605,9.372938858214024,21.127074846798948,-49.99999999999403,71.12707484679298,9.372938858214024
0,-88,12.3984375,0.46860992063492063,1.5127665967437023,9.053461790807441,0.00026666666666666397,29.522425,3.3179232919935187,0.6639065137068392,3.058425954892767,0.0024299584228516962,1.0310090850230667,2.7981949527676417,0.12003282655606573,6.25,0.4,15.269778031627009,22.630906912461743,129.81421913401573,0.0,763211.8464672436,8.874925343902909,15.269778031627009,6.301801187550636,26.15407309369253,4.604955804669342,15,85178.25890409568,16.998330095438966,17.32042157277592,121.22089017174218,0.7505301064878438,120.47036006525434,0.007222022915407973,0.8318319275829578,3.141592653589796,-0.36071437236131565,11.320492789718097,22.440682528595982,-49.999999999999915,72.4406825285959,11.320492789718097
0,-89,12.639062499999998,0.44893163580246914,1.180552497352808,6.46362604166667,2.962962962963047e-05,28.282693055555555,3.738038500059492,0.5996459794521382,2.244978888475325,0.018596664756435982,0.8594307452028572,1.9827403393627427,0.03757352172916244,0.0,0.08,15.655083057434663,23.39474304449681,130.12338925712638,0.0,811413.1227168868,8.866337266704233,15.655083057434664,6.370596388738879,24.88670696642595,4.856012405867547,15,94816.52406989713,16.95120656784153,17.188907021835437,121.20826791824037,0.3032489778870364,120.90501894035333,3.053533964947798,2.6359787776989623,6.766616382193362,1.2315863151373287,11.046436866024049,49.99999999999996,-23.393612355463198,73.39361235546315,11.046436866024049
0,-73,16.0796875,0.350167294973545,0.8872718674950412,4.264795988249589,0.00047407407407407175,22.060539583333334,3.760321212689375,0.2575219459747999,1.4794502885593874,0.03464404093077927,0.7322961074099984,1.3207679812838358,0.11627689271565,6.25,0.4,7.010731839891518,9.366307450503484,55.88158938329272,0.0,140163.15001674322,9.042481457303587,7.010731839891519,6.205721949393598,29.00637139146088,2.2812944578976486,1,72957.86007177783,19.80974753404567,8.700712260976621,47.30573755701054,0.09504757410416431,47.21068998290637,3.1305281723760876,2.496112559131091,6.920497205899931,1.4011788600232267,8.165896750219508,49.99999999999761,-31.43634408426478,81.43634408426239,8.165896750219508
0,-92,7.112500000000001,0.19329868459729566,0.5180156560824215,3.473560970796411,1.8518518518519044e-06,12.177817129629627,3.765344559079916,0.21380867024547423,0.97651551602614,0.008501012459935899,0.39885061838684266,1.0729663528542812,0.12845182200356833,6.25,0.56,8.217567768329916,12.135508671702404,76.20281443855666,0.0,219954.16652601236,8.894072337370943,8.217567768329916,3.1988231660150745,12.830337437948689,2.9031720831209835,15,21977.859705566472,10.283210319563572,10.244203275901755,70.40498269652198,0.07042224736990832,70.33456044915208,3.014330386611003,2.4742705400585265,7.360920092710005,1.254222539650312,11.00455740968259,49.9999999999997,-29.38039745266811,79.38039745266781,11.00455740968259
0,-87,12.495312499999999,0.47643628012933564,0.8696582456030042,4.1723853642355,4.629629629630254e-05,30.015485648148147,4.433922571586003,0.4312290815605571,1.3792600656007619,0.04393566049776064,0.8050344262926767,1.2439405791640252,0.36499320330727436,12.5,0.4,12.42133626860289,12.911067118216778,77.82928203780102,8.881784197001252e-16,328688.89480069943,9.268414206410558,12.42133626860289,6.177014016078141,22.54046759474421,3.62896788711591,1,44997.09165362723,16.046767059054858,9.798588484489459,70.54913031723846,1.1047968953507556,69.4443334218877,3.035167314763064,2.57967645437863,7.408883603537384,1.279801576161771,10.477537870253554,49.999999999999986,-34.42330004572101,84.42330004572099,10.477537870253554
0,-90,9.0578125,0.20480830393885952,0.46373235105751126,2.2833466685754327,5.104166666666811e-05,12.90292314814815,4.063517396550567,0.2232242590988672,0.8649151189010551,0.006670787485127502,0.3658758666457814,0.7088088727117398,0.040249276420700586,6.25,0.24,9.433708979057956,12.784821486519185,78.31300886434016,0.0,258505.2421567706,9.011403787326982,9.433708979057954,3.978965855563427,16.339513648459697,2.7808071133939904,15,29849.884488457526,11.780046476268936,9.798313398061492,71.09666256477195,0.44198765329808865,70.65467491147386,-0.018581862609699087,0.8012183613605391,3.141592653589793,-0.3120745025025378,10.088388165688379,21.675441339643406,-49.999999999999936,71.67544133964334,10.088388165688379
0,-89,9.8703125,0.22024324294532624,0.47030225097461,2.448213671823741,2.962962962962994e-05,13.875324305555553,4.159922408226206,0.2311849589925877,0.8562353880828286,0.0060819768096852635,0.38319667598366175,0.7942409611915884,0.06842177082320107,6.25,0.24,9.334135359587304,11.947707311756247,75.42140755481054,0.0,235390.76394853552,9.074402305454283,9.334135359587304,3.9047908192966525,17.805193672126943,3.158582888507446,1,28997.256609312637,12.865160632596531,9.57483376890565,70.37134441191165,0.29567213718685537,70.0756722747248,2.9524210040716365,2.5572582912722828,7.010003974044832,1.247144119334976,10.505890625953398,49.999999999999815,-31.395796004043998,81.39579600404382,10.505890625953398
0,-89,10.868749999999999,0.3141374999999999,0.8120910843785276,4.57849109098258,2.9629629629630338e-05,19.790662499999993,3.892946121155179,0.29023144607234586,1.6544242812834624,0.017714076372243516,0.6125631260666087,1.4255119503152631,0.1594879987134387,6.25,0.24,10.3303445217608,12.848676312452556,79.34134806784985,0.0,278327.8089425437,9.089951361461111,10.330344521760802,5.1912068628347745,19.606288931979584,2.939689609001185,1,36322.034845352,14.197502064265725,9.918950729420452,71.03187164801982,0.3939603886362413,70.63791125938357,0.009808542692500801,0.8581274203550301,3.1415926535897936,-0.29721566814744566,9.754511264525297,21.70482764273901,-49.99999999999979,71.70482764273879,9.754511264525297
