Condition,Count,shannon_entropy_mean,shannon_entropy_std,sample_entropy_mean,sample_entropy_std,permutation_entropy_mean,permutation_entropy_std,fractal_dimension_mean,fractal_dimension_std,lz_complexity_mean,lz_complexity_std,svd_entropy_mean,svd_entropy_std,normalized_entropy_mean,normalized_entropy_std
Baseline,799,5.524930346511662,0.09580917924989285,0.5027411102281667,0.15699936781777168,-1.6743310423506184e-06,0.0,0.0,0.0,0.19645650813516896,0.017677901727037586,3.584191600645242,0.17979946180402692,0.9208217244186103,0.01596819654164881
Healthy,799,5.489872885278528,0.09679876669352745,0.524428278810537,0.11207145884960172,-1.6743310423506184e-06,0.0,0.0,0.0,0.19244759073842302,0.013005809911828672,3.451102300744852,0.19403080725953958,0.9149788142130881,0.016133127782254574
Diseased,799,5.578217009766465,0.099491537361245,0.3237905646397762,0.17620438668585628,-1.6743310423506184e-06,0.0,0.0,0.0,0.18646354818523153,0.012823349946171379,3.3757269377609678,0.1445038575182938,0.9297028349610775,0.016581922893540834
