label,rssi,mean_amp,std_amp,max_amp,min_amp,median_amp,skewness,kurtosis,variance_ratio,mean_absolute_deviation,median_absolute_deviation,q1,q3,iqr,percentile_95,percentile_5,percentile_range_95,harmonic_mean,geometric_mean,zero_crossing_rate,autocorrelation_peak,total_energy,rms,crest_factor,shape_factor,impulse_factor,margin_factor
0,-70,19.8578125,14.859685442997902,112.1,0.0,22.25,3.3681265623620713,20.72729321661216,11.119565175936602,8.548291015625,3.9499999999999993,14.024999999999999,26.2,12.175,27.0,0.0,27.0,7.111108604399293e-06,1.9310540322920846,0,615.1429687499999,39369.149999999994,24.802075895980963,4.519782777472364,1.2489832224469708,5.645133085775027,27.90169729621912
0,-68,18.99375,14.017465389202856,105.6,0.0,21.6,3.3115738199072577,20.318564340857076,10.344946395132798,8.038867187500001,3.4999999999999982,14.3,24.2,9.899999999999999,26.47,0.0,26.47,7.11110858862534e-06,1.872617842755699,0,557.2518749999999,35664.12,23.606182982430685,4.473404091004062,1.2428394466385648,5.559723300573962,26.832306802216642
0,-88,12.3984375,14.804797492995093,121.2,0.0,12.1,6.11124124528997,42.66216209395087,17.67819623483988,5.939013671875001,2.9000000000000004,9.1,14.325000000000001,5.225000000000001,18.169999999999998,0.0,18.169999999999998,7.111106460492928e-06,1.2087544857324863,0,372.90328124999996,23865.809999999998,19.31070379996545,6.276311572025939,1.557510955913154,9.775424542372816,39.10176536108335
0,-89,12.639062499999998,14.604811035103937,121.2,0.0,12.1,6.323031025759595,44.786213020982515,16.87629034944668,5.251416015624999,2.0999999999999996,10.149999999999999,14.3,4.150000000000002,16.47,0.0,16.47,7.111107447746845e-06,1.2853896113154615,0,373.04640625,23874.97,19.31440929073421,6.2751074547765935,1.5281519307766922,9.589318069333224,38.344864564968425
0,-73,16.0796875,10.250292369115318,43.9,0.0,17.549999999999997,-0.11127228381005606,-0.7078550734175448,6.534236882284364,8.872216796875,8.2,8.9,25.225,16.325000000000003,27.455,0.0,27.455,6.399997024645689e-06,1.2279763382122486,0,363.62484375,23271.99,19.068949728550862,2.3021717673364694,1.185902931425,2.730152390700852,12.284249960139336
0,-92,7.112500000000001,8.979499220446538,69.9,0.0,6.1,5.291682129471294,34.46308784494869,11.336575734752092,4.579296875000001,3.9,2.2,10.0,7.8,13.824999999999998,0.0,13.824999999999998,7.111101754133309e-06,0.6888629639884593,0,131.2190625,8398.02,11.455088934617661,6.1020908957475655,1.610557093013788,9.827766632299946,30.469891933444934
0,-87,12.495312499999999,9.973581191194253,69.9,0.0,13.9,2.684326765874983,14.662253215581035,7.9607703942237045,6.736523437500001,4.399999999999999,6.225,17.1,10.875000000000002,20.939999999999998,0.0,20.939999999999998,7.111105721348699e-06,1.2091546439374043,0,255.60515625,16358.730000000001,15.987656371401032,4.372122717931034,1.2794922169340557,5.594097338974329,22.26846964032618
0,-90,9.0578125,8.769795548634173,69.9,0.0,9.1,5.0707623604358805,33.42440814781523,8.490935915697952,3.9412109375,2.0,6.7,10.850000000000001,4.150000000000001,13.0,0.0,13.0,7.111104971780918e-06,0.948249757810725,0,158.95328125000003,10173.010000000002,12.607667557879214,5.544244733203723,1.391910703160229,7.717094197181252,26.08460956694042
0,-89,9.8703125,8.973375195674356,69.9,0.0,10.2,4.4816880681115165,28.565392451598346,8.157943757545672,4.593701171875001,2.3000000000000007,6.7,12.025,5.325,16.1,0.0,16.1,7.1111051871019005e-06,1.0136633125796388,0,177.94453125,11388.45,13.339585122858956,5.240042633722954,1.351485454120475,7.081841929336895,24.98785917500047
0,-89,10.868749999999999,9.562310047132963,69.9,0.0,11.6,3.4769169933824915,20.09424882601915,8.412905350163971,5.7654296875,3.5,7.1,14.3,7.200000000000001,19.919999999999995,0.0,19.919999999999995,6.399995574784724e-06,0.8550529928987357,0,209.5675,13412.32,14.476446387149023,4.828532728413144,1.3319328400428923,6.431281754453664,24.09446176854833
