Condition,Count,spectral_centroid_mean,spectral_centroid_std,spectral_entropy_mean,spectral_entropy_std,spectral_flatness_mean,spectral_flatness_std,low_freq_energy_mean,low_freq_energy_std,mid_freq_energy_mean,mid_freq_energy_std,high_freq_energy_mean,high_freq_energy_std,spectral_slope_mean,spectral_slope_std
Baseline,799,5.618045237837967,1.1733025097242655,2.222710336396459,0.28047809085591524,0.14565538863056768,0.06219649179126426,0.8815247037479983,0.06358115224463565,0.1045552626789063,0.05728052263632713,0.013919912643758537,0.009351927760661712,-2.5257828832984646,0.30757051240838684
Healthy,799,5.161856528714605,0.9825567645952573,1.9942620145835908,0.3173038344371238,0.11853089895008607,0.05251890264469109,0.9050649169034937,0.05211120302450479,0.08442313678630611,0.04719431827674763,0.010511822721042079,0.00746893121639766,-2.662210115584518,0.3024763322614193
Diseased,799,4.482059283969837,0.776012011536746,1.9025272163599551,0.208140450956371,0.09175840427785482,0.0385528195172079,0.929936189968557,0.035686638316959944,0.06135232702859436,0.032308798638659264,0.008711399554811193,0.0046061028641501125,-2.5645714660035432,0.25844548349732466
