Condition,Count,time_freq_entropy_mean,time_freq_entropy_std,wavelet_entropy_mean,wavelet_entropy_std,inst_amp_mean_mean,inst_amp_mean_std,inst_freq_mean_mean,inst_freq_mean_std,spectrogram_mean_mean,spectrogram_mean_std,cwt_mean_mean,cwt_mean_std,avg_temporal_variation_mean,avg_temporal_variation_std,avg_freq_variation_mean,avg_freq_variation_std
Baseline,799,3.7926459483129658,0.3261405321500577,9.050717574938075,0.13085827277485404,18.041488399985425,5.002900000160317,0.22389343483047533,0.7554753658141433,0.5827155083211377,0.40117521926801886,11.652811206900566,3.240858850776052,0.6027986674655063,0.3801314013031981,1.1592735112153305,0.8763331768060049
Healthy,799,3.854969301786305,0.31117668685392474,9.056106063993944,0.12848666779673554,18.141652941375266,3.902792690680111,0.3060766279951509,0.7650044027143728,0.5203772599209109,0.30016101406898515,9.424197980134267,2.3092934678472803,0.46541251491518354,0.2729505272480568,1.0498909319866054,0.6804880700907485
Diseased,799,3.5637760238167173,0.2983252319508087,8.999076469124564,0.1529795203681915,22.101426454517526,4.554415195836607,0.29010980209749127,0.765171274956447,0.6035500459817497,0.3682041250470214,11.689602757371135,4.024881492808743,0.6673745035454006,0.3627545999430615,1.2367557454820681,0.8087560945156165
